molecule_chembl_id,canonical_smiles,standard_value_norm
CHEMBL108332,CN1CCN(CCCCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1,110.0
CHEMBL108333,CN1CCN(CCCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1,170.0
CHEMBL104304,CN1CCN(CCCNc2cc3nc(O)c(-c4c(Cl)cccc4Cl)cc3cn2)CC1,72.0
CHEMBL322005,CCN(CC)C(=O)c1ccc(Nc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)cc1,1900.0
CHEMBL419914,CCN(CC)CCCOc1ccc(Nc2cc3nc(O)c(-c4c(Cl)cccc4Cl)cc3cn2)cc1,440.0
CHEMBL107277,CCN(CC)CCOc1ccc(Nc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)cc1,130.0
CHEMBL107458,CCN(CC)CCCOc1ccc(Nc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)cc1,250.0
CHEMBL107423,CCN(CC)CCCCCNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C,80.0
CHEMBL106295,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)cc21,570.0
CHEMBL106772,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21,100.0
CHEMBL107418,CCN(CC)CCNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C,33000.0
CHEMBL311449,Oc1cc2ncn(-c3ccccc3)c2cc1O,11000.0
CHEMBL77712,COc1cc2ncn(-c3ccccc3)c2cc1C,50000.0
CHEMBL79328,CC(C)Oc1ccc2c(c1)ncn2-c1ccccc1,50000.0
CHEMBL77261,OCCCCOc1ccc2c(c1)ncn2-c1ccccc1,25000.0
CHEMBL80651,c1ccc(-n2cnc3cc4c(cc32)OCO4)cc1,27000.0
CHEMBL75969,CN(C)CCOc1ccc2c(c1)ncn2-c1ccccc1,45000.0
CHEMBL76202,COc1ccc2c(c1)ncn2-c1ccccc1,22000.0
CHEMBL77412,COc1ccc2c(ncn2-c2ccccc2)c1O,50000.0
CHEMBL2448064,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl,5000.0
CHEMBL312269,CN(C)CCCOc1ccc2c(c1)ncn2-c1ccccc1,4100.0
CHEMBL80873,Oc1ccc2c(c1)ncn2-c1ccccc1,6400.0
CHEMBL80558,COc1ccc2c(ncn2-c2ccccc2)c1OC,50000.0
CHEMBL25579,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,1600.0
CHEMBL24026,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,19000.0
CHEMBL26050,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC1CCN(C)CC1,50000.0
CHEMBL311318,C=CCOc1ccc2c(c1)ncn2-c1ccccc1,35000.0
CHEMBL306184,COc1cc2ncn(-c3ccccc3)c2cc1CO,11000.0
CHEMBL75964,Oc1cccc2c1ncn2-c1ccccc1,50000.0
CHEMBL428534,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,12300.0
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,100000.0
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,13500.0
CHEMBL422758,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,1700.0
CHEMBL25450,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,2500.0
CHEMBL1907763,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,1800.0
CHEMBL24137,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,6700.0
CHEMBL308245,c1ccc(-n2cnc3cc(OCCCCN4CCOCC4)ccc32)cc1,12000.0
CHEMBL310243,C=CCOc1ccc2c(ncn2-c2ccccc2)c1Br,50000.0
CHEMBL311913,Cc1cc2c(cc1O)ncn2-c1ccccc1,50000.0
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,6000.0
CHEMBL80510,CCCCOc1ccc2c(c1)ncn2-c1ccccc1,50000.0
CHEMBL310726,c1ccc(-n2cnc3cc(OCC4CO4)ccc32)cc1,18000.0
CHEMBL80915,c1ccc(-n2cnc3cc(OCCCN4CCOCC4)ccc32)cc1,9800.0
CHEMBL310137,OCC(O)COc1ccc2c(c1)ncn2-c1ccccc1,15000.0
CHEMBL1744349,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,1900.0
CHEMBL24979,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCN(C)CC1,2100.0
CHEMBL2448065,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,4300.0
CHEMBL77407,CCOc1ccc2c(c1)ncn2-c1ccccc1,50000.0
CHEMBL443800,c1ccc(-n2cnc3cc(SCCCN4CCOCC4)ccc32)cc1,24000.0
CHEMBL1907764,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,1800.0
CHEMBL309035,COc1ccc2c(c1)ncn2-c1ccc(N)cc1,18000.0
CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,8000.0
CHEMBL2448067,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCCC1.Cl,4200.0
CHEMBL78698,CN(C)CCCCOc1ccc2c(c1)ncn2-c1ccccc1,6800.0
CHEMBL1202477,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,2000.0
CHEMBL416191,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1500.0
CHEMBL307817,C=CCc1c(O)ccc2c1ncn2-c1ccccc1,50000.0
CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,3600.0
CHEMBL1907944,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CCCN(C)C1,5000.0
CHEMBL309270,CN(C)C(=S)Oc1ccc2c(c1)ncn2-c1ccccc1,50000.0
CHEMBL419653,Sc1ccc2c(c1)ncn2-c1ccccc1,50000.0
CHEMBL76962,COc1cc2ncn(-c3ccccc3)c2cc1C=O,25000.0
CHEMBL78444,CCCOc1ccc2c(c1)ncn2-c1ccccc1,35000.0
CHEMBL76839,Oc1ccc2c(ncn2-c2ccccc2)c1Br,50000.0
CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,2100.0
CHEMBL25610,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,19000.0
CHEMBL77242,c1ccc(-n2cnc3cc(OCCN4CCOCC4)ccc32)cc1,28000.0
CHEMBL310080,c1ccc(-n2cnc3ccccc32)cc1,50000.0
CHEMBL26641,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,2700.0
CHEMBL75637,CC1Cc2c(ccc3c2ncn3-c2ccccc2)O1,50000.0
CHEMBL308385,COc1c(O)ccc2c1ncn2-c1ccccc1,50000.0
CHEMBL279459,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,1900.0
CHEMBL1202473,COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,1500.0
CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,4100.0
CHEMBL311777,NCCOc1ccc2c(c1)ncn2-c1ccccc1,27000.0
CHEMBL77032,O=C(O)c1cc2c(cc1O)ncn2-c1ccccc1,22000.0
CHEMBL286160,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,27000.0
CHEMBL2448066,COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,900.0
CHEMBL80171,COc1cc2ncn(-c3ccccc3)c2cc1C(=O)O,50000.0
CHEMBL1202478,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,2100.0
CHEMBL80810,CSc1ccc2c(c1)ncn2-c1ccccc1,27000.0
CHEMBL79177,COc1cc2ncn(-c3ccccc3)c2cc1OC,25000.0
CHEMBL77303,Oc1ccc2c(ncn2-c2ccccc2)c1O,1900.0
CHEMBL311574,COC(=O)c1cc2c(cc1OC)ncn2-c1ccccc1,50000.0
CHEMBL327300,COc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cc1OC,100000.0
CHEMBL132358,CC(C)(C)NC(=O)Nc1nc2cc(N)ncc2cc1-c1c(Cl)cccc1Cl,120.0
CHEMBL58628,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1N,13000.0
CHEMBL417208,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(/N=C(/S)Nc4ccccc4)nc3n2)CC1,320.0
CHEMBL134334,COc1cc(OC)cc(-c2cc3cnc(NC(=O)C(F)(F)F)cc3nc2N)c1,61.0
CHEMBL444829,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)Nc4ccc(Br)cc4)nc3n2)CC1,110.0
CHEMBL58937,CC/N=C(\N)Nc1nc2nc(NCCCN(CC)CC)ncc2cc1-c1c(Cl)cccc1Cl,2700.0
CHEMBL300171,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Br)cccc1Br,290.0
CHEMBL299763,COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1,48.0
CHEMBL301273,CCNC(=O)Nc1nc2nc(NCCCN(CC)CC)ncc2cc1-c1c(Cl)cccc1Cl,130.0
CHEMBL298679,COc1ccc(NC(=O)Nc2nc3nc(NCCCN4CCN(C)CC4)ncc3cc2-c2c(Cl)cccc2Cl)cc1,74.0
CHEMBL134066,COc1cc(OC)cc(-c2cc3cnc(N)cc3nc2NC(=O)Nc2ccccc2)c1,510.0
CHEMBL422797,CCNC(=O)Nc1nc2cc(N)ncc2cc1-c1c(Cl)cccc1Cl,150.0
CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,4500.0
CHEMBL291777,CCN(CC)CCCNc1ncc2cc(-c3c(C)cccc3C)c(NC(=O)NC(C)(C)C)nc2n1,340.0
CHEMBL301483,CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1-c1c(Cl)cccc1Cl,49.0
CHEMBL57451,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NCCNC(=O)OC(C)(C)C)nc3n2)CC1,67.0
CHEMBL292701,CCN(CC)C(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl,5500.0
CHEMBL57475,CCN(CC)CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,1800.0
CHEMBL294438,CN(C)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,75.0
CHEMBL135074,COc1cc(OC)cc(-c2cc3cnc(NC(=O)NC(C)(C)C)cc3nc2NC(=O)NC(C)(C)C)c1,160.0
CHEMBL133436,CC(C)(C)NC(=O)Nc1nc2cc(N)ncc2cc1-c1ccccc1,1900.0
CHEMBL56958,CCN(CC)CCCNc1ncc2cc(-c3c(Br)cccc3Br)c(N)nc2n1,8300.0
CHEMBL264280,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(N)=O)nc3n2)CC1,140.0
CHEMBL58652,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)Nc4ccc(Cl)cc4)nc3n2)CC1,120.0
CHEMBL443262,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)Nc4cccc5ccccc45)nc3n2)CC1,300.0
CHEMBL432738,CCNC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,130.0
CHEMBL432708,CC(C)(C)NC(=O)Nc1nc2nc(NCCCN3CCOCC3)ncc2cc1-c1c(Cl)cccc1Cl,72.0
CHEMBL57323,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,400.0
CHEMBL56236,Cc1cc(C)c(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C,710.0
CHEMBL57022,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)C)nc2n1,77.0
CHEMBL57035,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(/N=C\N(C)C)nc2n1,10000.0
CHEMBL58627,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(N)nc2n1,3000.0
